año,mes,variable,valor,fuente,qa_policy,n_valid_pixels,n_total_pixels,valid_pixel_pct
2025,4,luminosidad_nocturna_mensual_nwcm2sr,1.7161,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,121933,4300361.0,2.8354
2025,4,luminosidad_nocturna_p90,1.1885,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,121933,4300361.0,2.8354
2025,5,luminosidad_nocturna_frac_iluminada,1.6292,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,36828,4300361.0,0.8564
2025,5,luminosidad_nocturna_logmedia,0.035,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,36828,4300361.0,0.8564
2025,5,luminosidad_nocturna_mediana,0.0,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,36828,4300361.0,0.8564
2025,5,luminosidad_nocturna_mensual_nwcm2sr,0.0835,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,36828,4300361.0,0.8564
2025,5,luminosidad_nocturna_p90,0.0,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,36828,4300361.0,0.8564
2025,6,luminosidad_nocturna_frac_iluminada,5.865,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,25712,4300361.0,0.5979
2025,6,luminosidad_nocturna_logmedia,0.1716,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,25712,4300361.0,0.5979
2025,6,luminosidad_nocturna_mediana,0.0,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%).",good_only_v2,25712,4300361.0,0.5979
