ano,estado,estado_cod,ntl_idx,fuente
2004,Cojedes,CO,16.0271,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Delta Amacuro,DE,11.7804,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Dependencias Fed.,DF,16.4156,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Distrito Capital,DC,45.8697,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Falcon,FA,9.9056,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Guarico,GU,11.848,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Lara,LA,11.9581,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Merida,ME,9.2048,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Miranda,MI,21.0336,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Monagas,MO,11.554,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Nueva Esparta,NE,21.8777,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Portuguesa,PO,11.1438,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Sucre,SU,10.1977,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Tachira,TA,10.0023,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Trujillo,TR,10.4496,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Vargas,VA,27.5564,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Yaracuy,YA,13.0428,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Zulia,ZU,12.3434,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2005,Amazonas,AM,12.8844,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Anzoategui,AN,12.0167,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Apure,AP,9.4626,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Aragua,AR,18.4158,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Barinas,BA,9.2809,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Bolivar,BO,12.7583,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Carabobo,CA,16.0035,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Cojedes,CO,12.8901,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Delta Amacuro,DE,10.7335,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Dependencias Fed.,DF,14.8063,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Distrito Capital,DC,45.1082,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Falcon,FA,9.2743,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Guarico,GU,9.5019,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Lara,LA,10.1001,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Merida,ME,8.4099,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2005,Miranda,MI,18.9492,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
