año,pib_nominal_usd,pib_crecimiento_real_pct,pib_per_capita_usd,ied_neta_usd,reservas_internacionales_usd,exportaciones_pct_pib,acceso_electricidad_pct,inflacion_ipc_pct,tipo_cambio_oficial_lcu_usd,tasa_alfabetizacion_adulta_pct,remesas_recibidas_usd,esperanza_vida_anos,mortalidad_infantil_x1000,GOV_WGI_CC.SC,GOV_WGI_GE.SC,GOV_WGI_PV.SC,GOV_WGI_RL.SC,GOV_WGI_RQ.SC,GOV_WGI_VA.SC,wgi_promedio_sc,petroleo_crudo_produccion_tbpd,gas_natural_produccion_bcf,electricidad_generacion_bkwh,inflacion_ipc_imf_pct,desempleo_pct,cuenta_corriente_pct_pib,cpi_score,hdi,guardian_articulos_venezuela,guardian_tono_titulares,wti_precio_usd,tasa_fed_funds_pct,brent_precio_usd,usd_index_broad,vix_volatility,ust_10y_yield_pct,freedom_house_score,migrantes_vzla_millones,luminosidad_nocturna_idx,lsci_conectividad_maritima,pts_terror_politico,wjp_rule_of_law,empleo_vulnerable_oit_pct
2010,393192354510.653,-1.5873015873016,13646.3046622664,1583000000.0,29665473906.3905,0.0,99.1,28.1874647092039,0.4119663832573614,95.3924213233743,143000000.0,73.092,14.5,22.332981,30.9776838,42.642444,26.679664,30.46668,41.2837929,32.39720761666667,2410.0,696.69432,113.767,1.4502491083193612,8.5,1.8,,0.764,307,-0.0724,79.47571428571429,0.175,79.60944444444445,93.05413699186992,22.54888888888889,3.2150597609561755,,0.0073,,98.77,3.0,,33.24
2011,316482190800.364,4.12186379928315,10843.9229703167,5855000000.0,27934651458.8556,0.0,98.8,26.0902123160959,0.632386422501182,94.7699966430664,138000000.0,73.09,14.8,25.0732819,30.0219247,44.3712505,26.1664098,33.610641699999995,39.4106817,33.109031716666664,2500.0,733.457235,117.963,1.416640507338281,8.2,5.2,,0.77,316,-0.1793,93.90632075471696,0.1016666666666666,111.2642741935484,88.77671992031873,24.20257936507937,2.78164,,0.0081,,84.51,3.0,,33.01
2012,371846610182.327,5.67986230636832,12582.0125686037,4986000000.0,29468789162.686,29.5953757225434,99.3,21.0689956331876,0.632386422501182,95.9871889937429,118000000.0,73.086,15.1,22.2641658,33.337285699999995,45.0855723,25.4336228,31.6750562,38.8786113,32.77905235,2500.0,802.56869,128.3161,1.3242824552976926,7.8,0.7,19.0,0.772,257,0.0014,94.05333333333331,0.14,111.57068273092368,91.63612329317267,17.79888,1.80344,39.0,0.0087,,96.48,3.5,,31.91
2013,258512396297.714,1.30293159609121,8642.37380007027,2145000000.0,20275216409.4457,30.2459016393443,99.4,40.6394275161589,0.7816090424128124,,120000000.0,73.076,15.4,21.4904878,32.8062364,43.2777616,22.7182919,30.9833738,35.7590412,31.172532116666662,2500.0,770.537985,135.1317,1.608526033577194,7.5,1.8,20.0,0.773,359,-0.0963,97.992,0.1075,108.555,92.76113654618474,14.230119047619048,2.35016,38.0,0.0095,,96.55,3.0,0.3586,31.63
2014,214838755021.964,-3.85852090032154,7101.15006382986,1135000000.0,21454894042.4243,43.4511434511435,100.0,62.1686499794829,0.7982499983784683,,128000000.0,72.837,15.8,18.9347593,31.7491156,45.8380356,20.9842894,27.9606359,34.9470447,30.06898008333333,2500.0,772.62157,115.2271,1.7937903846908188,8.0,2.3,19.0,0.77,312,-0.2376,93.52185483870969,0.0891666666666666,99.01944664031622,95.58756504065042,14.175992063492064,2.53956,35.0,0.0128,,87.61,3.33,0.3105,31.55
2015,125249941853.534,-6.18729096989966,4096.61989137473,2956000000.0,15625329211.5224,40.7547169811321,100.0,121.738085297503,0.7982499983784683,96.6100006103516,161000000.0,73.004,16.5,19.0168387,31.5085445,45.5199779,17.341382499999998,28.0652872,33.5812485,29.172213216666666,2489.47397260274,918.295945,127.5083,2.085290578230065,12.5,-12.8,17.0,0.768,316,-0.0833,48.73040983606557,0.1325,52.31654901960784,108.16961726907633,16.674126984126985,2.138286852589641,35.0,0.0225,,73.1,3.33,0.3128,31.56
2016,112948035494.959,-17.1122994652406,3671.23004093383,1587000000.0,10150000483.5116,31.1977715877437,99.4,254.948534781816,0.966486423126211,97.129997253418,279000000.0,72.002,21.2,19.1958791,30.4424425,45.140172,17.7496117,27.0326865,33.2297163,28.79841801666667,2254.4535519125684,971.9389743,116.933,2.4063698354692677,20.9,-3.4,17.0,0.761,399,-0.1463,43.29365079365079,0.395,43.638000000000005,113.06646008064516,15.82563492063492,1.83744,30.0,0.0526,,63.46,3.67,0.2775,31.65
2017,115892475742.789,-15.6989247311828,3791.63262049576,-299000000.0,9794062064.62109,33.3333333333333,99.2,,0.9989129043587858,97.1837183128414,,71.903,21.2,18.4527496,28.1577973,42.3206813,18.8448234,25.9940928,31.0033559,27.462250049999998,1997.4054794520548,956.3651916,103.8015,2.6415732531781755,27.9,7.5,18.0,0.749,324,-0.3748,50.80032,1.0016666666666667,54.1248046875,112.81009919678716,11.0902390438247,2.32948,26.0,0.1574,,49.91,4.33,,32.71
2018,101987075928.918,-19.6428571428571,3421.51341607593,622000000.0,,42.5471249801996,99.9,,,,,72.641,21.2,15.57127,20.3087248,40.8698504,17.2687585,21.0136831,27.8839468,23.819372266666665,1485.6219178082192,823.1799863,99.71,4.815405723019128,35.6,8.4,18.0,0.741,270,-0.1676,65.22746987951807,1.8316666666666668,71.335,112.00375403225809,16.639840637450202,2.9112449799196787,19.0,0.4853,,50.1,4.0,0.2861,34.25
2019,73014157107.594,-27.6190476190476,2523.11527549578,564000000.0,,47.195725949267,99.8,,,,,72.766,21.2,15.5726444,20.2793254,40.0660535,16.8469121,20.5965354,27.324212,23.4476138,877.668493150685,702.2743063,85.1383,4.298983999733384,,5.9,16.0,0.724,587,-0.189,56.98832,2.158333333333333,64.30062256809337,115.73329798387095,15.387857142857142,2.1414,16.0,0.8877,,47.28,4.67,0.2763,35.9
2020,42837965906.8675,-29.8245614035088,1506.04169391285,1504000000.0,,13.0054444362771,99.9,,,,,72.369,21.2,15.9071419,20.9661193,41.5410343,16.4840502,20.6598576,27.2987791,23.809497066666665,527.0628415300547,675.3392956,80.5017,3.3720093524526633,,-3.2,15.0,0.699,308,-0.2352,39.16043650793651,0.3758333333333333,41.95725490196079,117.7739632,29.251304347826085,0.889203187250996,14.0,1.0224,,42.79,5.0,0.2691,36.45
2021,56615026262.6535,0.625000000000014,2004.93572921136,1213000000.0,,15.3500529409223,100.0,,,,,71.536,21.2,15.7847312,21.7886363,43.8675295,17.2305696,21.9676223,25.4443221,24.347235166666668,594.8082191780821,750.8798251,82.9235,3.2009872191631663,,-0.9,14.0,0.696,236,-0.1037,68.13509960159362,0.08,70.85533596837945,113.10509156626506,19.656150793650795,1.4468525896414344,14.0,1.1703,,31.38,4.67,0.2651,35.42
2022,89013251020.9831,8.07453416149069,3155.04190923584,2349000000.0,,16.3490943080464,100.0,,,,,72.566,21.2,15.4068784,22.1442675,46.6466461,18.4490255,24.5068919,25.7258549,25.479927383333333,723.6575342465753,833.3942476,82.3546,2.2706788361447066,,4.0,14.0,0.706,248,-0.1266,94.9028685258964,1.6833333333333331,100.93130952380952,120.6980116,25.6371484375,2.9505622489959835,15.0,1.3676,,26.87,4.33,0.2614,36.43
2023,102377501185.925,4.02298850574712,3617.47038396528,13000000.0,,18.0663666874328,100.0,,,,,72.514,21.2,16.292816,23.4884579,47.0432279,19.0875856,25.0876114,26.0826344,26.180388866666664,770.5068493150685,847.2156673,71.957405983,2.5282737771670436,,5.8,13.0,0.709,255,-0.1275,77.57653225806452,5.024166666666667,82.49386454183266,120.266318875502,16.849027237354086,3.959,15.0,1.5478,,31.39,4.33,0.2638,37.0
2024,120566112397.063,5.52486187845305,4244.45723136019,1632583330.0,,16.7350337150912,100.0,,,,,72.673,21.2,15.7286763,22.83069,36.1651626,19.0276028,24.8486239,25.0393635,23.94001985,863.4699453551913,898.0486073,80.129574082,1.6937269489236468,,4.1,10.0,,308,-0.1664,76.63224000000001,5.1433333333333335,80.52185039370079,122.89302988047808,15.55065637065637,4.20796,13.0,1.7302,,37.22,4.33,0.2607,37.16
2025,99661244155.6306,1.57068062827224,3494.8138870244,,,14.9031673538596,,,,,,,,,,,,,,,972.6164383561644,,,2.401400540781544,,2.6,10.0,,690,-0.2293,65.38810483870968,4.2125,69.14264822134388,122.7202868,18.926666666666662,4.293212851405622,13.0,1.5982,,36.51,,0.2597,37.3
2026,,,,,,,,,,,,,,,,,,,,,1026.0,,,2.5881596163830918,,7.1,,,1002,-0.145,84.50926136363636,3.635,91.57898876404494,119.27235888888887,18.355297297297295,4.432277777777777,,,,38.6,,,
