origin_date,target_date,horizon,model,model_spec,aic,y_true,y_pred,lower_80,upper_80,lower_95,upper_95,coverage_pct_target,absolute_error,squared_error,bias_error,inside_80,inside_95
2017-12-01,2018-01-01,1,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",394.74830160268095,58.32,56.6599,51.7955,61.5243,49.2205,64.0994,96.0,1.6601,2.7559,-1.6601,True,True
2017-12-01,2018-03-01,3,naive,,,59.92,61.82,,,,,96.0,1.9,3.61,1.9,,
2017-12-01,2018-03-01,3,seasonal_naive,,,59.92,60.25,,,,,96.0,0.33,0.1089,0.33,,
2017-12-01,2018-03-01,3,ets,,,59.92,62.024,,,,,96.0,2.104,4.4267,2.104,,
2017-12-01,2018-03-01,3,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",394.74830160268095,59.92,58.6052,51.7569,65.4535,48.1317,69.0788,96.0,1.3148,1.7286,-1.3148,True,True
2017-12-01,2018-06-01,6,naive,,,58.1,61.82,,,,,96.0,3.72,13.8384,3.72,,
2017-12-01,2018-06-01,6,seasonal_naive,,,58.1,56.97,,,,,96.0,1.13,1.2769,-1.13,,
2017-12-01,2018-06-01,6,ets,,,58.1,60.7249,,,,,96.0,2.6249,6.8903,2.6249,,
2017-12-01,2018-06-01,6,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",394.74830160268095,58.1,56.3519,48.2835,64.4204,44.0123,68.6915,96.0,1.7481,3.0557,-1.7481,True,True
2018-03-01,2018-04-01,1,naive,,,57.28,59.92,,,,,96.0,2.64,6.9696,2.64,,
2018-03-01,2018-04-01,1,seasonal_naive,,,57.28,55.95,,,,,96.0,1.33,1.7689,-1.33,,
2018-03-01,2018-04-01,1,ets,,,57.28,58.9971,,,,,96.0,1.7171,2.9483,1.7171,,
2018-03-01,2018-06-01,3,naive,,,58.1,59.92,,,,,96.0,1.82,3.3124,1.82,,
2018-03-01,2018-06-01,3,seasonal_naive,,,58.1,56.97,,,,,96.0,1.13,1.2769,-1.13,,
2018-03-01,2018-06-01,3,ets,,,58.1,57.9247,,,,,96.0,0.1753,0.0307,-0.1753,,
2018-03-01,2018-09-01,6,naive,,,55.43,59.92,,,,,96.0,4.49,20.1601,4.49,,
2018-03-01,2018-09-01,6,seasonal_naive,,,55.43,57.17,,,,,96.0,1.74,3.0276,1.74,,
2018-03-01,2018-09-01,6,ets,,,55.43,57.3531,,,,,96.0,1.9231,3.6984,1.9231,,
2018-06-01,2018-07-01,1,naive,,,56.34,58.1,,,,,96.0,1.76,3.0976,1.76,,
2018-06-01,2018-07-01,1,seasonal_naive,,,56.34,52.29,,,,,96.0,4.05,16.4025,-4.05,,
2018-06-01,2018-07-01,1,ets,,,56.34,57.7653,,,,,96.0,1.4253,2.0314,1.4253,,
2018-06-01,2018-09-01,3,naive,,,55.43,58.1,,,,,96.0,2.67,7.1289,2.67,,
2018-06-01,2018-09-01,3,seasonal_naive,,,55.43,57.17,,,,,96.0,1.74,3.0276,1.74,,
2018-06-01,2018-09-01,3,ets,,,55.43,56.845,,,,,96.0,1.415,2.0023,1.415,,
2018-06-01,2018-12-01,6,naive,,,49.69,58.1,,,,,96.0,8.41,70.7281,8.41,,
2018-06-01,2018-12-01,6,seasonal_naive,,,49.69,61.82,,,,,96.0,12.13,147.1369,12.13,,
