año,mes,fecha,pulse_score,cobertura_pct,disponibilidad_pct,n_vars,n_vars_total,produccion_disponible,mes_cerrado,elegible_modelo,estado,delta_1m,delta_comparable_1m,efecto_composicion_1m,cobertura_comun_1m_pct,composicion_estable_1m,delta_3m,delta_comparable_3m,efecto_composicion_3m,cobertura_comun_3m_pct,composicion_estable_3m
2015,9,2015-09-01,18.0,82.5,82.5,12,15,True,True,True,utilizable,-8.46,-8.4582,-0.0018,82.5,True,-17.86,-17.856,-0.004,82.5,True
2015,10,2015-10-01,25.55,82.5,82.5,12,15,True,True,True,utilizable,7.55,7.5478,0.0022,82.5,True,-5.37,-5.3734,0.0034,82.5,True
2015,11,2015-11-01,25.28,82.5,82.5,12,15,True,True,True,utilizable,-0.27,-0.2645,-0.0055,82.5,True,-1.18,-1.175,-0.005,82.5,True
2015,12,2015-12-01,13.7,82.5,82.5,12,15,True,True,True,utilizable,-11.58,-11.5805,0.0005,82.5,True,-4.3,-4.2972,-0.0028,82.5,True
2016,1,2016-01-01,12.48,82.5,82.5,12,15,True,True,True,utilizable,-1.22,-1.218,-0.002,82.5,True,-13.07,-13.063,-0.007,82.5,True
2016,2,2016-02-01,17.71,82.5,82.5,12,15,True,True,True,utilizable,5.23,5.2291,0.0009,82.5,True,-7.57,-7.5695,-0.0005,82.5,True
2016,3,2016-03-01,32.57,82.5,82.5,12,15,True,True,True,utilizable,14.86,14.8596,0.0004,82.5,True,18.87,18.8706,-0.0006,82.5,True
2016,4,2016-04-01,27.01,82.5,82.5,12,15,True,True,True,utilizable,-5.56,-5.5598,-0.0002,82.5,True,14.53,14.5289,0.0011,82.5,True
2016,5,2016-05-01,22.83,82.5,82.5,12,15,True,True,True,utilizable,-4.18,-4.1802,0.0002,82.5,True,5.12,5.1196,0.0004,82.5,True
2016,6,2016-06-01,20.14,82.5,82.5,12,15,True,True,True,utilizable,-2.69,-2.6898,-0.0002,82.5,True,-12.43,-12.4298,-0.0002,82.5,True
2016,7,2016-07-01,34.8,82.5,82.5,12,15,True,True,True,utilizable,14.66,14.6607,-0.0007,82.5,True,7.79,7.7907,-0.0007,82.5,True
2016,8,2016-08-01,31.44,82.5,82.5,12,15,True,True,True,utilizable,-3.36,-3.362,0.002,82.5,True,8.61,8.6089,0.0011,82.5,True
2016,9,2016-09-01,35.18,82.5,82.5,12,15,True,True,True,utilizable,3.74,3.737,0.003,82.5,True,15.04,15.0357,0.0043,82.5,True
2016,10,2016-10-01,37.44,82.5,82.5,12,15,True,True,True,utilizable,2.26,2.2558,0.0042,82.5,True,2.64,2.6309,0.0091,82.5,True
2016,11,2016-11-01,26.87,82.5,82.5,12,15,True,True,True,utilizable,-10.57,-10.5617,-0.0083,82.5,True,-4.57,-4.5689,-0.0011,82.5,True
2016,12,2016-12-01,35.95,82.5,82.5,12,15,True,True,True,utilizable,9.08,9.075,0.005,82.5,True,0.77,0.7691,0.0009,82.5,True
2017,1,2017-01-01,31.42,82.5,96.0,12,15,True,True,True,utilizable,-4.53,-4.5328,0.0028,82.5,True,-6.02,-6.0195,-0.0005,82.5,True
2017,2,2017-02-01,37.1,96.0,96.0,14,15,True,True,True,utilizable,5.68,5.0878,0.5922,82.5,False,10.23,9.6299,0.6001,82.5,False
2017,3,2017-03-01,32.2,96.0,96.0,14,15,True,True,True,utilizable,-4.9,-4.8972,-0.0028,96.0,True,-3.75,-4.6969,0.9469,82.5,False
2017,4,2017-04-01,28.94,96.0,96.0,14,15,True,True,True,utilizable,-3.26,-3.2579,-0.0021,96.0,True,-2.48,2.2649,-4.7449,82.5,False
2017,5,2017-05-01,25.98,96.0,96.0,14,15,True,True,True,utilizable,-2.96,-2.9624,0.0024,96.0,True,-11.12,-11.1175,-0.0025,96.0,True
2017,6,2017-06-01,32.61,96.0,96.0,14,15,True,True,True,utilizable,6.63,6.6247,0.0053,96.0,True,0.41,0.4045,0.0055,96.0,True
2017,7,2017-07-01,23.73,96.0,96.0,14,15,True,True,True,utilizable,-8.88,-8.8721,-0.0079,96.0,True,-5.21,-5.2097,-0.0003,96.0,True
2017,8,2017-08-01,21.04,96.0,96.0,14,15,True,True,True,utilizable,-2.69,-2.6941,0.0041,96.0,True,-4.94,-4.9415,0.0015,96.0,True
2017,9,2017-09-01,38.78,96.0,96.0,14,15,True,True,True,utilizable,17.74,17.7385,0.0015,96.0,True,6.17,6.1723,-0.0023,96.0,True
2017,10,2017-10-01,43.49,96.0,96.0,14,15,True,True,True,utilizable,4.71,4.7083,0.0017,96.0,True,19.76,19.7527,0.0073,96.0,True
2017,11,2017-11-01,46.84,96.0,96.0,14,15,True,True,True,utilizable,3.35,3.3573,-0.0073,96.0,True,25.8,25.8041,-0.0041,96.0,True
2017,12,2017-12-01,45.94,96.0,96.0,14,15,True,True,True,utilizable,-0.9,-0.9074,0.0074,96.0,True,7.16,7.1582,0.0018,96.0,True
2018,1,2018-01-01,43.56,96.0,96.0,14,15,True,True,True,utilizable,-2.38,-2.3803,0.0003,96.0,True,0.07,0.0696,0.0004,96.0,True
2018,2,2018-02-01,40.35,96.0,96.0,14,15,True,True,True,utilizable,-3.21,-3.2109,0.0009,96.0,True,-6.49,-6.4986,0.0086,96.0,True
2018,3,2018-03-01,45.02,96.0,96.0,14,15,True,True,True,utilizable,4.67,4.6769,-0.0069,96.0,True,-0.92,-0.9143,-0.0057,96.0,True
2018,4,2018-04-01,43.14,96.0,96.0,14,15,True,True,True,utilizable,-1.88,-1.8865,0.0065,96.0,True,-0.42,-0.4205,0.0005,96.0,True
2018,5,2018-05-01,39.52,96.0,96.0,14,15,True,True,True,utilizable,-3.62,-3.6126,-0.0074,96.0,True,-0.83,-0.8222,-0.0078,96.0,True
2018,6,2018-06-01,43.96,96.0,96.0,14,15,True,True,True,utilizable,4.44,4.4367,0.0033,96.0,True,-1.06,-1.0624,0.0024,96.0,True
