archivo,variable,año,valor_local,valor_oficial,tolerancia_absoluta,coincide,evidencia
imf.csv,pib_crecimiento_imf_pct,2010,-1.5,-1.489,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2011,4.2,4.176,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2012,5.6,5.626,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2013,1.3,1.343,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2014,-3.9,-3.894,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2015,-6.2,-6.221,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2016,-17.0,-17.04,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2017,-15.7,-15.671,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2018,-19.7,-19.655,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2019,-27.7,-27.658,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2020,-30.0,-29.999,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2021,1.0,0.955,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2022,8.0,8.001,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2023,4.0,4.002,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2024,5.3,5.298,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2025,1.5,1.533,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2026,4.0,4.043,0.0500001,True,weo_apr2026.xlsx
wjp.csv,wjp_rule_of_law,2013,0.3586,0.35859205011581974,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2014,0.3105,0.3105444165136808,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2015,0.3128,0.3127859152467974,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2016,0.2775,0.2774595528867995,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2018,0.2861,0.28608625703979934,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2019,0.2763,0.2762991984711953,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2020,0.2691,0.2691009506063608,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2021,0.2651,0.26506162710726283,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2022,0.2614,0.2613805022450237,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2023,0.2638,0.263803985320371,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2024,0.2607,0.260713295585324,5.001e-05,True,wjp2025.xlsx
wjp.csv,wjp_rule_of_law,2025,0.2597,0.2597410505231185,5.001e-05,True,wjp2025.xlsx
freedom_house.csv,freedom_house_score,2023,15.0,15.0,1e-09,True,fh2013_2024.xlsx
