año,indicador,valor,pais,fuente
2001,mortalidad_infantil_x1000,1.7017753,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2002,mortalidad_infantil_x1000,1.6621879,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2003,mortalidad_infantil_x1000,1.6211894,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2004,mortalidad_infantil_x1000,1.5744807,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2005,mortalidad_infantil_x1000,1.5271602,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2006,mortalidad_infantil_x1000,1.4848557,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2007,mortalidad_infantil_x1000,1.4535505,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2008,mortalidad_infantil_x1000,1.4380107,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2009,mortalidad_infantil_x1000,1.440011,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2010,mortalidad_infantil_x1000,1.4547664,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2011,mortalidad_infantil_x1000,1.476719,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2012,mortalidad_infantil_x1000,1.5052205,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2013,mortalidad_infantil_x1000,1.5408578,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2014,mortalidad_infantil_x1000,1.5808063,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2015,mortalidad_infantil_x1000,1.6826066,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2016,mortalidad_infantil_x1000,2.1467564,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2017,mortalidad_infantil_x1000,2.1476848,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2018,mortalidad_infantil_x1000,2.147754,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2019,mortalidad_infantil_x1000,2.147754,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2020,mortalidad_infantil_x1000,2.147754,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2021,mortalidad_infantil_x1000,2.147754,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2022,mortalidad_infantil_x1000,2.147754,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
2023,mortalidad_infantil_x1000,2.147754,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
