año,mes,variable,valor,fuente
2022,9,acled_eventos_total,291,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,10,acled_eventos_total,228,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,11,acled_eventos_total,276,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,12,acled_eventos_total,190,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,1,acled_eventos_total,611,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,2,acled_eventos_total,379,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,3,acled_eventos_total,402,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,4,acled_eventos_total,266,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,5,acled_eventos_total,334,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,6,acled_eventos_total,253,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,7,acled_eventos_total,222,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,8,acled_eventos_total,239,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,9,acled_eventos_total,250,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,10,acled_eventos_total,232,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,11,acled_eventos_total,257,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2023,12,acled_eventos_total,139,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,1,acled_eventos_total,281,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,2,acled_eventos_total,179,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,3,acled_eventos_total,199,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,4,acled_eventos_total,134,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,5,acled_eventos_total,203,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,6,acled_eventos_total,111,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,7,acled_eventos_total,280,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,8,acled_eventos_total,302,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,9,acled_eventos_total,118,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,10,acled_eventos_total,148,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,11,acled_eventos_total,135,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2024,12,acled_eventos_total,123,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2025,1,acled_eventos_total,182,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2025,2,acled_eventos_total,110,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2025,3,acled_eventos_total,125,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2025,4,acled_eventos_total,100,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2025,5,acled_eventos_total,116,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2025,6,acled_eventos_total,100,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2025,7,acled_eventos_total,76,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
