año,mes,variable,valor,fuente
2015,12,luminosidad_nocturna_mensual_nwcm2sr,0.8747,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2016,1,luminosidad_nocturna_mensual_nwcm2sr,0.8777,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2016,2,luminosidad_nocturna_mensual_nwcm2sr,0.9592,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2016,3,luminosidad_nocturna_mensual_nwcm2sr,0.959,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2016,4,luminosidad_nocturna_mensual_nwcm2sr,0.9908,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2016,5,luminosidad_nocturna_mensual_nwcm2sr,1.1358,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2016,6,luminosidad_nocturna_mensual_nwcm2sr,0.9555,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2016,7,luminosidad_nocturna_frac_iluminada,3.6177,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%)."
2016,7,luminosidad_nocturna_logmedia,0.0822,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%)."
2016,7,luminosidad_nocturna_mediana,0.0,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%)."
